Neighborhood,OverallQual,YearRemodAdd,BsmtExposure,GrLivArea,KitchenQual,FireplaceQu,GarageType,GarageFinish,GarageCars,SalePrice
15,7,5,1,1710,2,1,4,2,2,208500
12,6,31,4,1262,1,3,4,2,2,181500
15,7,6,2,1786,2,3,4,2,2,223500
16,7,36,1,1717,2,4,2,1,3,140000
22,8,8,3,2198,2,3,4,2,3,250000
9,5,14,1,1362,1,1,4,1,2,143000
18,8,2,3,1694,2,4,4,2,2,307000
11,7,36,2,2090,1,3,4,2,2,200000
5,7,58,1,1774,1,3,2,1,2,129900
3,5,58,1,1077,1,3,4,2,1,118000
6,5,43,1,1040,1,1,2,1,1,129500
21,9,0,1,2324,3,4,5,3,3,345000
6,5,46,1,912,1,1,2,1,1,144000
15,7,0,3,1494,2,4,4,2,3,279500
8,6,48,1,1253,1,2,4,2,1,157000
3,7,6,1,854,1,1,2,1,2,132000
8,6,40,1,1004,1,3,4,3,2,149000
6,4,39,0,1296,1,1,1,1,2,90000
10,5,4,1,1114,2,1,2,1,2,159000
8,5,44,1,1339,1,1,4,1,1,139000
21,8,0,3,2376,2,4,5,2,3,325300
1,7,57,1,1108,2,4,4,1,1,139400
15,8,6,1,1795,2,4,4,2,2,230000
0,5,31,1,1060,1,3,4,1,2,129900
6,5,9,2,1060,2,3,4,1,1,154000
21,8,2,1,1600,2,4,4,2,3,256300
8,5,10,2,900,2,1,2,1,2,134800
21,8,2,1,1704,2,4,4,2,3,306000
8,5,9,4,1600,1,4,4,2,1,207500
3,4,58,1,520,0,1,2,1,1,68500
1,4,58,1,1317,1,1,2,1,1,40000
6,5,2,1,1228,2,1,4,1,1,149350
15,8,1,3,1234,2,1,4,2,2,179900
8,5,51,1,1700,2,4,4,2,2,165500
21,9,2,1,1561,3,4,4,3,2,277500
21,8,1,3,2452,2,4,5,3,3,309000
15,5,14,1,1097,1,1,4,1,2,145000
8,5,19,1,1297,1,3,4,3,2,153000
8,5,3,1,1057,2,1,2,1,1,109000
4,4,53,0,1152,0,1,0,0,0,82000
8,6,41,1,1324,1,3,4,2,2,160000
19,5,48,4,1328,1,4,4,2,1,170000
10,5,24,3,884,2,1,4,2,2,144000
15,5,28,3,938,1,1,2,1,1,130250
8,5,47,1,1150,1,1,4,2,1,141000
21,9,5,1,1752,3,4,4,2,2,319900
9,7,6,1,2149,2,5,4,2,2,239686
18,8,1,3,1656,2,1,4,2,3,249700
5,4,1,1,1452,1,1,0,0,0,113000
6,5,41,1,955,1,1,4,1,1,127000
13,6,10,3,1470,1,1,4,3,2,177000
3,6,56,1,1176,1,4,2,1,2,114500
1,5,47,4,816,1,1,1,1,2,110000
12,9,19,4,1842,2,4,4,3,3,385000
8,5,52,1,1360,1,3,2,1,2,130000
8,6,44,1,1425,1,4,4,2,2,180500
18,8,9,1,1739,2,1,4,3,2,172500
15,7,2,1,1720,2,1,4,2,2,196500
20,10,0,4,2945,2,4,5,3,3,438780
15,5,36,3,780,1,1,2,1,1,124900
10,6,2,1,1158,2,1,2,1,2,158000
1,5,11,1,1111,0,1,2,1,1,101000
21,8,1,2,1370,2,4,4,2,2,202500
5,7,60,1,1710,1,1,2,1,2,140000
15,7,11,1,2034,2,1,4,2,2,219500
21,8,2,3,2473,2,4,5,2,3,317000
8,7,21,4,2207,1,4,4,2,2,180000
15,7,4,3,1479,2,1,4,2,2,226000
5,4,60,1,747,1,1,4,1,1,80000
17,7,53,1,2287,1,3,4,3,2,225000
8,7,34,4,2223,1,4,4,3,2,244000
9,4,1,1,845,1,1,2,1,2,129500
13,7,11,1,1718,1,3,4,3,2,185000
8,5,7,1,1086,1,1,4,1,2,144900
5,3,60,1,1605,1,1,2,1,1,107400
0,4,36,4,988,1,1,5,1,1,91000
8,4,52,1,952,1,1,2,1,1,135750
3,5,7,1,1285,1,1,2,1,1,127000
6,4,42,1,1768,1,1,0,0,0,136500
5,5,28,1,1230,1,1,2,1,2,110000
8,6,41,1,2142,2,4,4,3,1,193500
9,6,8,1,1337,1,1,4,3,2,153500
18,8,1,1,1563,2,4,4,2,3,245000
8,5,47,1,1065,1,1,2,1,2,126500
13,7,13,1,1474,1,3,5,3,2,168500
22,8,14,1,2417,2,3,4,1,2,260000
13,6,4,3,1560,2,4,5,3,2,174000
18,6,0,3,1224,2,1,2,2,2,164500
1,3,27,1,1526,0,1,0,0,0,85000
15,4,12,1,990,1,1,0,0,0,123600
8,4,56,0,1040,1,1,2,1,2,109900
8,5,45,1,1235,1,1,4,1,2,98600
16,5,3,1,964,1,1,2,1,2,163500
5,6,9,2,2291,1,4,2,1,2,133900
